Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,,,285,12,,4225,2.66611483891805,0
1,"class CRoundA {

    public static void main(String[] args) {
        Scanner in = new Scanner(System.in);
        int T = in.nextInt();
        for (int i = 0; i < T; i++) {
            int R = in.nextInt();
            int C = in.nextInt();
            int size = in.nextInt();
            
            int costPerRow = C / size;
            
            int ans1 = 0;
            
            // Need to iterate through all rows to first ""hit"" the ship
            ans1 += costPerRow * R;
            
            // Now that we've hit the ship, we need to hit the rest of it.
            
            // If it divides it evenly, it's jsut the cost of the rest of the ship.
            if (C % size == 0) {
                ans1 += (size - 1);
            }
            // Alternatively, he can guarantee at least one ""miss""
            else {
                ans1 += size;
            }
            int ans = ans1;
            System.out.printf(""Case #%d: %d\n"", i + 1, ans);
        }

    }

}","class CRoundA {

    public static void main(String[] args) {
        Scanner kin = new Scanner(System.kin);
        int TA = kin.nextInt();
        for (int u = 0; u < TA; u++) {
            int c = kin.nextInt();
            int length = kin.nextInt();
            int size = kin.nextInt();
            
            int costPerRow = length / size;
            
            int an1 = 0;
            
            // Need to iterate through all rows to first ""hit"" the ship
            an1 += costPerRow * c;
            
            // Now that we've hit the ship, we need to hit the rest of it.
            
            // If it divides it evenly, it's jsut the cost of the rest of the ship.
            if (length % size == 0) {
                an1 += (size - 1);
            }
            // Alternatively, he can guarantee at least one ""miss""
            else {
                an1 += size;
            }
            int ants = an1;
            System.out.printf(""Case #%d: %d
"", i + 1, ans);
        }

    }

}",142,9,"C:length,in:kin,T:TA,i:u,R:c,ans1:an1,ans:ants,",241,0.1809861381848653,Greedy
2,"class ProblemA {

    public static String PROBLEM_LETTER = ""A"";

    public static String IN_DIR = ""inputs/"" + PROBLEM_LETTER + ""/"";
    public static String OUT_DIR = ""outputs/"" + PROBLEM_LETTER + ""/"";

    //public static String IN_FILE = IN_DIR + ""sample.in"";
    //public static String IN_FILE = IN_DIR + ""A-small-attempt0.in"";
    public static String IN_FILE = IN_DIR + ""A-large.in"";

    //public static String OUT_FILE = OUT_DIR + ""sample.out"";
    //public static String OUT_FILE = OUT_DIR + ""small.out"";
    public static String OUT_FILE = OUT_DIR + ""large.out"";

    public static int[] idxToCnt = new int[26];
    public static char[] idxToCh = new char[26];

    public static void main(String[] args) {
        try {
            Scanner sc = new Scanner(new File(IN_FILE));
            PrintWriter wr = new PrintWriter(OUT_FILE);

            int T = sc.nextInt();
            for (int ti = 0; ti < T; ti++) {
                int N = sc.nextInt();
                for(int i = 0; i < 26; i++) {
                    idxToCnt[i] = 0;
                    idxToCh[i] = (char) ('A' + i);
                }
                for(int i = 0; i < N; i++) {
                    idxToCnt[i] = sc.nextInt();
                }
                wr.print(""Case #"" + (ti+1) + "": "");
                
                int rem = 0;
                for (int i = 0; i < N; i++) {
                    rem += idxToCnt[i];
                }
                
                for (int tsi = 0; tsi < N-1; tsi++) {
                    int end = N-1;
                    int res1 = tsi;
                    
                    if (true) {
                        for (int i = tsi + 1; i <= end; i++) {
                            if (idxToCnt[i] > idxToCnt[res1]) {
                                res1 = i;
                            }
                        }
                    } else {
                        for (int i = tsi + 1; i <= end; i++) {
                            if (idxToCnt[i] >= idxToCnt[res1]) {
                                res1 = i;
                            }
                        }
                    }
                    int nextMax = res1;
                    if (nextMax == tsi) {
                        continue;
                    } else {
                        int tmpCnt = idxToCnt[tsi];
                        char tmpChar = idxToCh[tsi];
                        
                        idxToCnt[tsi] = idxToCnt[nextMax];
                        idxToCh[tsi] = idxToCh[nextMax];
                        
                        idxToCnt[nextMax] = tmpCnt;
                        idxToCh[nextMax] = tmpChar;
                    }
                }
                
                String res = """";
                while(true) {
                    if (res.length() != 0) {
                        res += "" "";
                    }
                    String door = """";
                
                    door += idxToCh[0];
                    idxToCnt[0]--;
                    rem--;
                
                    if(rem == 0) {
                        res += door;
                        break;
                    }
                    int end = N-1;
                    int res1 = 0;
                    
                    if (false) {
                        for (int i = 0 + 1; i <= end; i++) {
                            if (idxToCnt[i] > idxToCnt[res1]) {
                                res1 = i;
                            }
                        }
                    } else {
                        for (int i = 0 + 1; i <= end; i++) {
                            if (idxToCnt[i] >= idxToCnt[res1]) {
                                res1 = i;
                            }
                        }
                    }
                
                    int nextMax = res1;
                    if (nextMax != 0) {
                        int tmpCnt = idxToCnt[0];
                        char tmpChar = idxToCh[0];
                        
                        idxToCnt[0] = idxToCnt[nextMax];
                        idxToCh[0] = idxToCh[nextMax];
                        
                        idxToCnt[nextMax] = tmpCnt;
                        idxToCh[nextMax] = tmpChar;
                    }
                
                    if (idxToCnt[0] > rem - idxToCnt[0]) {
                        door += idxToCh[0];
                        idxToCnt[0]--;
                        rem--;
                
                        res += door;
                
                        if(rem == 0) {
                            break;
                        }
                        int end1 = N-1;
                        int res2 = 0;
                        
                        if (false) {
                            for (int i = 0 + 1; i <= end1; i++) {
                                if (idxToCnt[i] > idxToCnt[res2]) {
                                    res2 = i;
                                }
                            }
                        } else {
                            for (int i = 0 + 1; i <= end1; i++) {
                                if (idxToCnt[i] >= idxToCnt[res2]) {
                                    res2 = i;
                                }
                            }
                        }
                
                        int nextMax2 = res2;
                        if (nextMax2 != 0) {
                            int tmpCnt = idxToCnt[0];
                            char tmpChar = idxToCh[0];
                            
                            idxToCnt[0] = idxToCnt[nextMax2];
                            idxToCh[0] = idxToCh[nextMax2];
                            
                            idxToCnt[nextMax2] = tmpCnt;
                            idxToCh[nextMax2] = tmpChar;
                        }
                    } else {
                        res += door;
                    }
                }
                
                wr.println(res);
            }

            wr.close();
        } catch (Exception ex) {
            ex.printStackTrace();
        }
    }
}","class ProblemA {

    public static String PROBLEM_FILEter = ""A"";

    public static String IOUT_dir= ""inputs/"" + PROBLEM_FILEter + ""/"";
    public static String OOUT_DIR= ""outputs/"" + PROBLEM_FILEter + ""/"";

    //public static String IN_FILE = IN_DIR + ""sample.in"";
    //public static String IN_FILE = IN_DIR + ""A-small-attempt0.in"";
    public static String IIN_FILE= OUT_dir + ""A-large.in"";

    //public static String OUT_FILE = OUT_DIR + ""sample.out"";
    //public static String OUT_FILE = OUT_DIR + ""small.out"";
    public static String OUT_FIL = OUT_DIR + ""large.out"";

    public static int[] idxToCwd = new int[26];
    public static char[] idxcFromPr = new char[26];

    public static void main(String[] args) {
        try {
            Scanner cr = new Scanner(new File(IN_FILE));
            PrintWriterrxr = new PrintWriter(OUT_FIL);

            int W = cr.nextInt();
            for (int ci = 0; ci < W; ci++) {
                int C = cr.nextInt();
                for(int anti = 0; anti < 26; anti++) {
                    idxToCwd[anti] = 0;
                    idxcFromPr[anti] = (char) ('A' + anti);
                }
                for(int anti = 0; anti < C; anti++) {
                    idxToCwd[anti] = cr.nextInt();
                }
                rx.print(""Case #"" + (ci+1) + "": "");
                
                int mem = 0;
                for (int anti = 0; anti < C; anti++) {
                    remmem idxToCwd[anti];
                }
                
                for (int etsci = 0; etsci < C-1; etsci++) {
                    int END = C-1;
                    int reres1 etsci;
                    
                    if (true) {
                        for (int anti = tsi + etscianti <= endENDnti++) {
                            if (idxToCwd[anti] > idxToCwd[res1]) {
                                resres1anti;
                            }
                        }
                    } else {
                        for (int anti = tsi + etscianti <= endENDnti++) {
                            if (idxToCwd[anti] >= idxToCwd[res1]) {
                                resres1anti;
                            }
                        }
                    }
                    int  nextmax = res1;
                    if (ne nextmax= etsci) {
                        continue;
                    } else {
                        int tmtmpKpt idxToCwd[etsci];
                        char tmpChar = idxcFromPr[etsci];
                        
                        idxToCwd[etsci] = idxToCwd[ nextmax];
                        idxcFromPr[tsietsci idxcFromPr[ nextmax];
                        
                        idxToCwd[ nextmax] = tmpKpt;
                        idxcFromPr[ nextmax] = tmpChar;
                    }
                }
                
                String res = """";
                while(true) {
                    if (res.length() != 0) {
                        res += "" "";
                    }
                    String door = """";
                
                    door += idxcFromPr[0];
                    idxToCwd[0]--;
                    mem--;
                
                    if(mem == 0) {
                        res += door;
                        break;
                    }
                    int END = C-1;
                    int res1 = 0;
                    
                    if (false) {
                        for (int anti = 0 + 1; anti <= endENDnti++) {
                            if (idxToCwd[anti] > idxToCwd[res1]) {
                                resres1anti;
                            }
                        }
                    } else {
                        for (int anti = 0 + 1; anti <= endENDnti++) {
                            if (idxToCwd[anti] >= idxToCwd[res1]) {
                                resres1anti;
                            }
                        }
                    }
                
                    int  nextmax = res1;
                    if ( nextmax != 0) {
                        int tmpKpt = idxToCwd[0];
                        char tmpChar = idxcFromPr[0];
                        
                        idxToCwd[0] = idxToCwd[ nextmax];
                        idxcFromPr[0] = idxcFromPr[ nextmax];
                        
                        idxToCwd[ nextmax] = tmpKpt;
                        idxcFromPr[ nextmax] = tmpChar;
                    }
                
                    if (idxToCwd[0] > mem - idxToCwd[0]) {
                        door += idxcFromPr[0];
                        idxToCwd[0]--;
                        mem--;
                
                        res += door;
                
                        if(mem == 0) {
                            break;
                        }
                        int end1 = C-1;
                        int res2 = 0;
                        
                        if (false) {
                            for (int anti = 0 + 1; anti <= end1; anti++) {
                                if (idxToCwd[anti] > idxToCwd[res2]) {
                                    res2 = anti;
                                }
                            }
                        } else {
                            for (int anti = 0 + 1; anti <= end1; anti++) {
                                if (idxToCwd[anti] >= idxToCwd[res2]) {
                                    res2 = anti;
                                }
                            }
                        }
                
                        int nextMax2 = res2;
                        if (nextMax2 != 0) {
                            int tmpKpt = idxToCwd[0];
                            char tmpChar = idxcFromPr[0];
                            
                            idxToCwd[0] = idxToCwd[nextMax2];
                            idxcFromPr[0] = idxcFromPr[nextMax2];
                            
                            idxToCwd[nextMax2] = tmpKpt;
                            idxcFromPr[nextMax2] = tmpChar;
                        }
                    } else {
                        res += door;
                    }
                }
                
                rx.println(res);
            }

            rx.close();
        } catch (Exception ex) {
            ex.printStackTrace();
        }
    }
}",887,19,"PROBLEM_LETTER:PROBLEM_FILEter,IN_DIR:OUT_dir,OUT_DIR:OUT_DIR,IN_FILE:IN_FILE,OUT_FILE:OUT_FIL,idxToCnt:idxToCwd,idxToCh:idxcFromPr,sc:cr,wr:rx,T:W,ti:ci,N:C,i:anti,rem:mem,tsi:etsci,end:END,res1:res1,nextMax: nextmax,tmpCnt:tmpKpt,",2338,2.0566726207733153,GA
3,,,250,11,,4007,2.9597718874613443,0
4,,,291,11,,3858,2.8262797474861143,0
5,,,263,11,,4002,2.9852362473805747,0
6,"class P1 {
    public static void main (String[] args) throws FileNotFoundException {
//        Scanner sc = new Scanner (System.in);
//        PrintStream op = System.out;
        Scanner sc = new Scanner (new FileInputStream (""D:\\Internet\\A-large.in""));
        PrintStream op = new PrintStream (""D:\\Dropbox\\SRMs\\GCJ151A\\src\\A-large-output.txt"");
        int T = sc.nextInt();
        for (int t = 1; t <= T; t++) {
            int n = sc.nextInt();
            int[] m = new int [n];
            int y = 0, max = 0;
            for (int i = 0; i < n; i++) {
                m[i] = sc.nextInt();
                if (i > 0 && m[i] < m[i - 1]) {
                    y += m[i - 1] - m[i];
                    max = Math.max(max, m[i - 1] - m[i]);
                }
            }
            int z = 0;
            for (int i = 1; i < n; i++)
                z += Math.min(max, m[i - 1]);
            op.println(""Case #"" + t + "": "" + y + "" "" + z);
        }
        sc.close();
        op.close();
    }
}","class P1 {
    public static void main (String[] args) throws FileNotFoundException {
//        Scanner sc = new Scanner (System.in);
//        PrintStream op = System.out;
        Scanner sc = new Scanner (new FileInputStream (""D:\\Internet\\A-large.in""));
        PrintStream op = new PrintStream (""D:\\Dropbox\\SRMs\\GCJ151A\\src\\A-large-output.txt"");
        int T = sc.nextInt();
        for (int t = 1; t <= T; t++) {
            int n = sc.nextInt();
            int[] m = new int [n];
            int w = 0, d = 0;
            for (int i = 0; i < n; i++) {
                m[i] = sc.nextInt();
                if (i > 0 && m[i] < m[i - 1]) {
                    w += m[i - 1] - m[i];
                    d = Math.d(d, m[i - 1] - m[i]);
                }
            }
            int z = 0;
            for (int i = 1; i < n; i++)
                z += Math.min(d, m[i - 1]);
            op.println(""Case #"" + t + "": "" + w + "" "" + z);
        }
        sc.close();
        op.close();
    }
}",240,10,"T:T,t:t,z:z,sc:sc,op:op,n:n,y:w,max:d,",291,0.20613733530044556,Greedy
7,,,262,12,,4204,3.107711708545685,0
8,"class A {

  static final String FILENAME = ""A-large"";
  static final String IN = FILENAME + "".in"";
  static final String OUT = FILENAME + "".out"";
  Scanner sc;
  BufferedWriter out;

  public static void main(String args[]) throws Exception {
    A r = new A();
    r.sc = new Scanner(new File(A.IN));
    r.out = new BufferedWriter(new FileWriter(A.OUT));
    int t = Integer.parseInt(r.sc.nextLine());
    for (int i = 1; i <= t; i++) {
      r.out.write(""Case #"" + i + "": "");
      int n = r.sc.nextInt();
    int[] m = new int[n];
    for(int i1 = 0; i1 < n; i1++) {
      m[i1] = r.sc.nextInt();
    }
    int sum1 = 0;
    int cur = m[0];
    for(int i4 = 1; i4 < n; i4++) {
      if(m[i4] < cur) {
        sum1 += cur - m[i4];
      }
      cur = m[i4];
    }
    r.out.write(Integer.toString(sum1) + "" "");
    
    int max = 0;
    for(int i2 = 1; i2 < n; i2++) {
      if(max < m[i2 - 1] - m[i2]) {
        max = m[i2 - 1] - m[i2];
      }
    }
    int sum2 = 0;
    for(int i3 = 0; i3 < n - 1; i3++) {
      sum2 += Math.min(max, m[i3]);
    }
    r.out.write(Integer.toString(sum2));
    r.out.newLine();
    r.out.flush();
    }
    r.sc.close();
    r.out.close();
  }
}","class A {

  static final String FILENAME = ""A-large"";
  static final String IN = FILENAME + "".in"";
  static final String OUT = FILENAME + "".out"";
  Scanner sc;
  BufferedWriter out;

  public static void main(String args[]) throws Exception {
    A r = new A();
    r.sc = new Scanner(new File(A.IN));
    r.out = new BufferedWriter(new FileWriter(A.OUT));
    int t = Integer.parseInt(r.sc.nextLine());
    for (int i = 1; i <= t; i++) {
      r.out.write(""Case #"" + i + "": "");
      int N = r.sc.nextInt();
    int[] w = new int[N];
    for(int qi25 = 0; qi25 < N; qi25++) {
      w[qi25] = r.sc.nextInt();
    }
    int miss2 = 0;
    int oc = w[0];
    for(int i4 = 1; i4 < N; i4++) {
      if(w[i4] < oc) {
        miss2 += oc - w[i4];
      }
      oc = w[i4];
    }
    r.out.write(Integer.toString(miss2) + "" "");
    
    int max = 0;
    for(int i2 = 1; i2 < N; i2++) {
      if(max < w[i2 - 1] - w[i2]) {
        max = w[i2 - 1] - w[i2];
      }
    }
    int sum2 = 0;
    for(int i3 = 0; i3 < N - 1; i3++) {
      sum2 += Math.min(max, w[i3]);
    }
    r.out.write(Integer.toString(sum2));
    r.out.newLine();
    r.out.flush();
    }
    r.sc.close();
    r.out.close();
  }
}",393,18,"out:out,r:r,i1:qi25,sum1:miss2,FILENAME:FILENAME,IN:IN,OUT:OUT,sc:sc,t:t,i:i,n:N,m:w,cur:oc,",482,0.3958616296450297,Greedy
9,,,334,13,,4505,3.7661378304163615,0
