Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,". */
class Ideone
{
    public static void main (String[] args) throws java.lang.Exception
    {
        DataInputStream in = new DataInputStream(System.in);
        int t,h;
        t= Integer.parseInt(in.readLine());
        int heights[]= new int[2502];
        for(int k=0;k<2501;k++)
            heights[k]=0;
        for(int i=1;i<=t;i++)
        {
            int n;
            n= Integer.parseInt(in.readLine());
            for(int j=1;j<2*n;j++)
            {
                String line=in.readLine();
                StringTokenizer st= new StringTokenizer(line);
                for(int x=0;x<n;x++)
                {
                    h=Integer.parseInt(st.nextToken());
                    System.out.print(h+"" "");
                    heights[h]=heights[h]+1;
                }
                    System.out.println("""");
            }
            String s="""";
            for(int k=0;k<2502;k++)
            {
                if(heights[k]%2!=0)
                    s=s+k+"" "";
                heights[k]=0;
            }
            s=s.trim();
            System.out.println(""Case #""+i+"": ""+s);
        }
    }
}",". */
class Ideone
{
    public static void main (String[] args) throws java.lang.Exception
    {
        DataInputStream in = new DataInputStream(System.in);
        int t,h;
        t= Integer.parseInt(in.readLine());
        int width[]= new int[2502];
        for(int c=0;c<2501;c++)
            width[c]=0;
        for(int i=1;i<=t;i++)
        {
            int n;
            n= Integer.parseInt(in.readLine());
            for(int dj=1;dj<2*n;dj++)
            {
                String line=in.readLine();
                StringTokenizer st= new StringTokenizer(line);
                for(int x=0;x<n;x++)
                {
                    h=Integer.parseInt(st.nextToken());
                    System.out.print(h+"" "");
                    width[h]=width[h]+1;
                }
                    System.out.println("""");
            }
            String s="""";
            for(int c=0;c<2502;c++)
            {
                if(width[c]%2!=0)
                    s=s+c+"" "";
                width[c]=0;
            }
            s=s.trim();
            System.out.println(""Case #""+i+"": ""+s);
        }
    }
}",285,14,"heights:width,k:c,j:dj,",1272,2.154384970664980,Beam
1,"class CRoundA {

    public static void main(String[] args) {
        Scanner in = new Scanner(System.in);
        int T = in.nextInt();
        for (int i = 0; i < T; i++) {
            int R = in.nextInt();
            int C = in.nextInt();
            int size = in.nextInt();
            
            int costPerRow = C / size;
            
            int ans1 = 0;
            
            // Need to iterate through all rows to first ""hit"" the ship
            ans1 += costPerRow * R;
            
            // Now that we've hit the ship, we need to hit the rest of it.
            
            // If it divides it evenly, it's jsut the cost of the rest of the ship.
            if (C % size == 0) {
                ans1 += (size - 1);
            }
            // Alternatively, he can guarantee at least one ""miss""
            else {
                ans1 += size;
            }
            int ans = ans1;
            System.out.printf(""Case #%d: %d\n"", i + 1, ans);
        }

    }

}","class CRoundA {

    public static void main(String[] args) {
        Scanner inf = new Scanner(System.inf);
        int T = inf.nextInt();
        for (int i = 0; i < T; i++) {
            int R = inf.nextInt();
            int CA = inf.nextInt();
            int size = inf.nextInt();
            
            int CostPerCol = CA / size;
            
            int ans1 = 0;
            
            // Need to iterate through all rows to first ""hit"" the ship
            ans1 += CostPerCol * R;
            
            // Now that we've hit the ship, we need to hit the rest of it.
            
            // If it divides it evenly, it's jsut the cost of the rest of the ship.
            if (CA % size == 0) {
                ans1 += (size - 1);
            }
            // Alternatively, he can guarantee at least one ""miss""
            else {
                ans1 += size;
            }
            int ans = ans1;
            System.out.printf(""Case #%d: %d
"", i + 1, ans);
        }

    }

}",142,11,"costPerRow:CostPerCol,C:CA,in:inf,",800,1.328969919681550,Beam
2,,,887,27,,1752,3.7669522444407100,0
3,,,250,11,,559,1.0348947803179400,0
4,,,291,13,,3597,6.485391430060070,0
5,,,263,13,,683,1.2582552671432500,0
6,"class P1 {
    public static void main (String[] args) throws FileNotFoundException {
//        Scanner sc = new Scanner (System.in);
//        PrintStream op = System.out;
        Scanner sc = new Scanner (new FileInputStream (""D:\\Internet\\A-large.in""));
        PrintStream op = new PrintStream (""D:\\Dropbox\\SRMs\\GCJ151A\\src\\A-large-output.txt"");
        int T = sc.nextInt();
        for (int t = 1; t <= T; t++) {
            int n = sc.nextInt();
            int[] m = new int [n];
            int y = 0, max = 0;
            for (int i = 0; i < n; i++) {
                m[i] = sc.nextInt();
                if (i > 0 && m[i] < m[i - 1]) {
                    y += m[i - 1] - m[i];
                    max = Math.max(max, m[i - 1] - m[i]);
                }
            }
            int z = 0;
            for (int i = 1; i < n; i++)
                z += Math.min(max, m[i - 1]);
            op.println(""Case #"" + t + "": "" + y + "" "" + z);
        }
        sc.close();
        op.close();
    }
}","class P1 {
    public static void main (String[] args) throws FileNotFoundException {
//        Scanner sc = new Scanner (System.in);
//        PrintStream op = System.out;
        Scanner sc = new Scanner (new FileInputStream (""D:\\Internet\\A-large.in""));
        PrintStream op = new PrintStream (""D:\\Dropbox\\SRMs\\GCJ151A\\src\\A-large-output.txt"");
        int T = sc.nextInt();
        for (int t = 1; t <= T; t++) {
            int n = sc.nextInt();
            int[] w = new int [n];
            int y = 0, max = 0;
            for (int i = 0; i < n; i++) {
                w[i] = sc.nextInt();
                if (i > 0 && w[i] < w[i - 1]) {
                    y += w[i - 1] - w[i];
                    max = Math.max(max, w[i - 1] - w[i]);
                }
            }
            int z = 0;
            for (int i = 1; i < n; i++)
                z += Math.min(max, w[i - 1]);
            op.println(""Case #"" + t + "": "" + y + "" "" + z);
        }
        sc.close();
        op.close();
    }
}",240,12,"m:w,",187,0.3697141885757450,Beam
7,,,262,14,,652,1.172387150923410,0
8,"class A {

  static final String FILENAME = ""A-large"";
  static final String IN = FILENAME + "".in"";
  static final String OUT = FILENAME + "".out"";
  Scanner sc;
  BufferedWriter out;

  public static void main(String args[]) throws Exception {
    A r = new A();
    r.sc = new Scanner(new File(A.IN));
    r.out = new BufferedWriter(new FileWriter(A.OUT));
    int t = Integer.parseInt(r.sc.nextLine());
    for (int i = 1; i <= t; i++) {
      r.out.write(""Case #"" + i + "": "");
      int n = r.sc.nextInt();
    int[] m = new int[n];
    for(int i1 = 0; i1 < n; i1++) {
      m[i1] = r.sc.nextInt();
    }
    int sum1 = 0;
    int cur = m[0];
    for(int i4 = 1; i4 < n; i4++) {
      if(m[i4] < cur) {
        sum1 += cur - m[i4];
      }
      cur = m[i4];
    }
    r.out.write(Integer.toString(sum1) + "" "");
    
    int max = 0;
    for(int i2 = 1; i2 < n; i2++) {
      if(max < m[i2 - 1] - m[i2]) {
        max = m[i2 - 1] - m[i2];
      }
    }
    int sum2 = 0;
    for(int i3 = 0; i3 < n - 1; i3++) {
      sum2 += Math.min(max, m[i3]);
    }
    r.out.write(Integer.toString(sum2));
    r.out.newLine();
    r.out.flush();
    }
    r.sc.close();
    r.out.close();
  }
}","class A {

  static final String FILENAME = ""A-large"";
  static final String IN = FILENAME + "".in"";
  static final String OUT = FILENAME + "".out"";
  Scanner sc;
  BufferedWriter out;

  public static void main(String args[]) throws Exception {
    A r = new A();
    r.sc = new Scanner(new File(A.IN));
    r.out = new BufferedWriter(new FileWriter(A.OUT));
    int t = Integer.parseInt(r.sc.nextLine());
    for (int i = 1; i <= t; i++) {
      r.out.write(""Case #"" + i + "": "");
      int n = r.sc.nextInt();
    int[] w = new int[n];
    for(int i1 = 0; i1 < n; i1++) {
      w[i1] = r.sc.nextInt();
    }
    int sum1 = 0;
    int cur = w[0];
    for(int i4 = 1; i4 < n; i4++) {
      if(w[i4] < cur) {
        sum1 += cur - w[i4];
      }
      cur = w[i4];
    }
    r.out.write(Integer.toString(sum1) + "" "");
    
    int max = 0;
    for(int i2 = 1; i2 < n; i2++) {
      if(max < w[i2 - 1] - w[i2]) {
        max = w[i2 - 1] - w[i2];
      }
    }
    int sum2 = 0;
    for(int i3 = 0; i3 < n - 1; i3++) {
      sum2 += Math.min(max, w[i3]);
    }
    r.out.write(Integer.toString(sum2));
    r.out.newLine();
    r.out.flush();
    }
    r.sc.close();
    r.out.close();
  }
}",393,16,"m:w,",125,0.24438246885935500,Beam
9,,,334,15,,1179,2.4574538389841700,0
