Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,,,21,2,,426,1.8992475827535000,0
1,,,64,1,,239,0.8946764707565310,0
3,"public void writeSI32(int value) throws IOException {
  flushBits();
  out.write(value & 0xff);
  out.write(value >> 8);
  out.write(value >> 16);
  out.write(value >> 24);
  bytesWritten+=4;
}","public void writeI64(int values) throws IOException {
  flushBits();
  out.write(values & 0xff);
  out.write(values >> 8);
  out.write(values >> 16);
  out.write(values >> 24);
  cyclesWritten+=4;
}",58,3,"writeSI32:writeI64,bytesWritten:cyclesWritten,value:values,",76,0.47,ALERT
4,,,135,7,,942,10.79489684899650,0
5,,,33,3,,491,5.165520087877910,0
7,"public static double lnGamma(double alpha){
  double x=alpha, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}","public static double  logCala(double p){
  double x=p, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}",119,5,"alpha:p,lnGamma: logCala,",85,1.1,ALERT
8,"public boolean validate(String value,String rule){
  return (value.equalsIgnoreCase(rule));
}
","public boolean validate(String element,String rule){
  return (element.equalsIgnoreCase(rule));
}
",22,3,"value:element,",37,0.37,ALERT
9,,,24,2,,412,6.545714334646860,0
10,,,97,3,,361,3.8269987384478300,0
12,"private void checkHeadingsHierarchy(Elements elements,TestSolutionHandler testSolutionHandler){
  if (elements.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution checkResult=TestSolution.PASSED;
  Iterator<Element> iter=elements.iterator();
  Element element=iter.next();
  int indexOfReference=getHeaderIndex(element);
  int currentIndex;
  int previousIndex=indexOfReference;
  Element elementOfReference=element;
  Element previousElement=element;
  while (iter.hasNext()) {
    element=iter.next();
    currentIndex=getHeaderIndex(element);
    if (currentIndex != -1) {
      if (currentIndex - previousIndex >= 2) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (currentIndex < indexOfReference) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=currentIndex;
      previousElement=element;
    }
  }
  testSolutionHandler.addTestSolution(checkResult);
}","private void checkHeadingsFierology(Elements elements,TestSolutionHandler testSolutionHandler){
  if (elements.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution viewResult=TestSolution.PASSED;
  Iterator<Element> iter=elements.iterator();
  Element uri=iter.next();
  int indexOfReference=getHeaderIndex(uri);
  int CurrentElement;
  int previousIndex=indexOfReference;
  Element elementOfReference=uri;
  Element previousElement=uri;
  while (iter.hasNext()) {
    uri=iter.next();
    CurrentElement=getHeaderIndex(uri);
    if (CurrentElement != -1) {
      if (CurrentElement - previousIndex >= 2) {
        viewResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,uri,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (CurrentElement < indexOfReference) {
        viewResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,uri,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=CurrentElement;
      previousElement=uri;
    }
  }
  testSolutionHandler.addTestSolution(viewResult);
}",213,11,"element:uri,currentIndex:CurrentElement,checkResult:viewResult,checkHeadingsHierarchy:checkHeadingsFierology,",369,7.64,ALERT
