Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,"public void addListener(Listener listener){
  mListeners.add(listener);
  notifyServiceDiscovered(mMatchingDrones);
}
","public void removeAdapter(Listener adder){
  mAdders.add(adder);
  notifyServiceDiscovered(mMatchingDrones);
}
",21,4,"listener:adder,addListener:removeAdapter,mListeners:mAdders,",281,0.925971154,Beam
1,"private <T extends CWLResource>List<T> lookForResources(CWLResourceType type,Class<T> clazz){
  List<T> resources=getRequirements(type,clazz);
  if (resources == null || resources.size() == 0) {
    resources=getHints(type,clazz);
  }
  return resources;
}","private <T extends CWLResource>List<T> lookFindTypes(CWLResourceType resource,Class<T> Clclass){
  List<T> services=getRequirements(resource,Clclass);
  if (services == null || services.size() == 0) {
    services=getHints(resource,Clclass);
  }
  return services;
}",64,4,"type:resource,lookForResources:lookFindTypes,clazz:Clclass,resources:services,",430,1.335072454,Beam
3,"public void writeSI32(int value) throws IOException {
  flushBits();
  out.write(value & 0xff);
  out.write(value >> 8);
  out.write(value >> 16);
  out.write(value >> 24);
  bytesWritten+=4;
}","public void writeI64(int start) throws IOException {
  flushBits();
  out.write(start & 0xff);
  out.write(start >> 8);
  out.write(start >> 16);
  out.write(start >> 24);
  bytesWritten+=4;
}",58,4,"writeSI32:writeI64,value:start,",78,0.276935991,Beam
4,,,135,9,,1889,9.522080696,0
5,,,33,3,,281,1.148839382,0
7,"public static double lnGamma(double alpha){
  double x=alpha, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}","public static double logCalma(double data){
  double x=data, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}",119,5,"lnGamma:logCalma,alpha:data,",71,0.39220132,Beam
8,"public boolean validate(String value,String rule){
  return (value.equalsIgnoreCase(rule));
}
","public boolean validate(String element,String rule){
  return (element.equalsIgnoreCase(rule));
}
",22,3,"value:element,",40,0.147929815,Beam
9,,,24,2,,322,1.697519847,0
10,"public static <T>String toString(Collection<T> collection){
  if (collection == null) {
    return ""null"";
  }
  if (collection.isEmpty()) {
    return """";
  }
  StringBuilder buf=new StringBuilder();
  String delimiter="""";
  for (  T t : collection) {
    if (t == null) {
      continue;
    }
    buf.append(delimiter);
    buf.append(t);
    delimiter="", "";
  }
  return buf.toString();
}
","public static <T>String ToStr(Collection<T> chain){
  if (chain == null) {
    return ""null"";
  }
  if (chain.isEmpty()) {
    return """";
  }
  StringBuilder buf=new StringBuilder();
  String delimiter="""";
  for (  T t : chain) {
    if (t == null) {
      continue;
    }
    buf.append(delimiter);
    buf.append(t);
    delimiter="", "";
  }
  return buf.ToStr();
}
",97,5,"toString:ToStr,collection:chain,",120,0.456829615,Beam
12,"private void checkHeadingsHierarchy(Elements elements,TestSolutionHandler testSolutionHandler){
  if (elements.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution checkResult=TestSolution.PASSED;
  Iterator<Element> iter=elements.iterator();
  Element element=iter.next();
  int indexOfReference=getHeaderIndex(element);
  int currentIndex;
  int previousIndex=indexOfReference;
  Element elementOfReference=element;
  Element previousElement=element;
  while (iter.hasNext()) {
    element=iter.next();
    currentIndex=getHeaderIndex(element);
    if (currentIndex != -1) {
      if (currentIndex - previousIndex >= 2) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (currentIndex < indexOfReference) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=currentIndex;
      previousElement=element;
    }
  }
  testSolutionHandler.addTestSolution(checkResult);
}","private void checkHeadingsFierachy(Elements items,TestSolutionHandler testSolutionHandler){
  if (items.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution checkResult=TestSolution.PASSED;
  Iterator<Element> iter=items.iterator();
  Element element=iter.next();
  int indexOfReference=getHeaderIndex(element);
  int currentIndex;
  int previousIndex=indexOfReference;
  Element elementOfReference=element;
  Element previousElement=element;
  while (iter.hasNext()) {
    element=iter.next();
    currentIndex=getHeaderIndex(element);
    if (currentIndex != -1) {
      if (currentIndex - previousIndex >= 2) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (currentIndex < indexOfReference) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=currentIndex;
      previousElement=element;
    }
  }
  testSolutionHandler.addTestSolution(checkResult);
}",213,11,"checkHeadingsHierarchy:checkHeadingsFierachy,elements:items,",229,1.363520869,Beam
13,"public static String byteArrayToHexString(byte[] block,int offset,int length){
  StringBuffer buf=new StringBuffer();
  int len=block.length;
  length=length + offset;
  if ((len < length)) {
    length=len;
  }
  for (int i=0 + offset; i < length; i++) {
    byte2hex(block[i],buf);
    if (i < length - 1) {
      buf.append(':');
    }
  }
  return buf.toString();
}","public static String byteArrayToHexString(byte[] block,int prefix,int length){
  StringBuffer buf=new StringBuffer();
  int len=block.length;
  length=length + prefix;
  if ((len < length)) {
    length=len;
  }
  for (int i=0 + prefix; i < length; i++) {
    byte2hex(block[i],buf);
    if (i < length - 1) {
      buf.append(':');
    }
  }
  return buf.toString();
}",105,7,"offset:prefix,",12,0.053387384,Beam
14,,,36,3,,242,0.933521736,0
15,,,121,6,,1147,4.590854025,0
16,"public JKSSignatureToken(InputStream ksStream,String ksPassword){
  try {
    keyStore=KeyStore.getInstance(KeyStore.getDefaultType());
    password=(ksPassword == null) ? null : ksPassword.toCharArray();
    keyStore.load(ksStream,password);
  }
 catch (  Exception e) {
    throw new DSSException(e);
  }
 finally {
    if (ksStream != null) {
      try {
        ksStream.close();
      }
 catch (      IOException e) {
        logger.error(e.getMessage(),e);
      }
    }
  }
}
","public JKSSigningKey(InputStream opensSteam,String ksPassword){
  try {
    keyStore=KeyStore.getInstance(KeyStore.getDefaultType());
    password=(ksPassword == null) ? null : ksPassword.toCharArray();
    keyStore.load(opensSteam,password);
  }
 catch (  Exception e) {
    throw new DSSException(e);
  }
 finally {
    if (opensSteam != null) {
      try {
        opensSteam.close();
      }
 catch (      IOException e) {
        logger.error(e.getMessage(),e);
      }
    }
  }
}
",106,7,"JKSSignatureToken:JKSSigningKey,ksStream:opensSteam,",1068,4.994890984,Beam
17,"private ResponsePacket executeCount(QueryTemplatePacket template,IJSpace space,Transaction txn) throws SQLException {
  try {
    template.setRouting(getRouting());
    template.setExplainPlan(getExplainPlan());
    int count=space.count(template,txn,getReadModifier());
    ResponsePacket response=new ResponsePacket();
    Object[][] values=new Object[1][1];
    values[0][0]=count;
    ResultEntry result=new ResultEntry(new String[]{getCountColumnName()},new String[]{getCountColumnLabel()},new String[]{""""},values);
    response.setResultEntry(result);
    return response;
  }
 catch (  Exception e) {
    if (_logger.isLoggable(Level.SEVERE)) {
      _logger.log(Level.SEVERE,e.getMessage(),e);
    }
    throw new SQLException(""Failed to execute count: "" + e,""GSP"",-111);
  }
}","private ResponsePacket invokeCount(QueryTemplatePacket template,IJSpace space,Transaction txn) throws SQLException {
  try {
    template.setRouting(getRouting());
    template.setExplainPlan(getExplainPlan());
    int count=space.count(template,txn,getReadModifier());
    ResponsePacket response=new ResponsePacket();
    Object[][] values=new Object[1][1];
    values[0][0]=count;
    ResultEntry result=new ResultEntry(new String[]{getCountColumnName()},new String[]{getCountColumnLabel()},new String[]{""""},values);
    response.setResultEntry(result);
    return response;
  }
 catch (  Exception e) {
    if (_logger.isLoggable(Level.SEVERE)) {
      _logger.log(Level.SEVERE,e.getMessage(),e);
    }
    throw new SQLException(""Failed to execute count: "" + e,""GSP"",-111);
  }
}",186,10,"executeCount:invokeCount,",52,0.206793912,Beam
18,,,111,7,,1580,40.23962913,0
