Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,"public void addListener(Listener listener){
  mListeners.add(listener);
  notifyServiceDiscovered(mMatchingDrones);
}
","public void removeListen(Listener addacher){
  mListeners.add(addacher);
  notifyServiceDiscovered(mMatchingDrones);
}
",21,2,"listener:addacher,addListener:removeListen,",44,0.25,ALERT
1,,,64,1,,442,3.7361683011055000,0
3,"public void writeSI32(int value) throws IOException {
  flushBits();
  out.write(value & 0xff);
  out.write(value >> 8);
  out.write(value >> 16);
  out.write(value >> 24);
  bytesWritten+=4;
}","public void writeSU33(int this) throws IOException {
  flushBits();
  out.write(this & 0xff);
  out.write(this >> 8);
  out.write(this >> 16);
  out.write(this >> 24);
  bytesRead+=4;
}",58,3,"writeSI32:writeSU33,value:this,bytesWritten:bytesRead,",344,3.36,ALERT
4,"@Override public void onFullBackup(FullBackupDataOutput output) throws IOException {
  if (mVolumes != null) {
    if (DEBUG)     Slog.i(TAG,""Backing up "" + mVolumes.length + "" shared volumes"");
    HashSet<String> externalFilesDirFilter=new HashSet<String>();
    final File externalAndroidRoot=new File(Environment.getExternalStorageDirectory(),Environment.DIRECTORY_ANDROID);
    externalFilesDirFilter.add(externalAndroidRoot.getCanonicalPath());
    for (int i=0; i < mVolumes.length; i++) {
      StorageVolume v=mVolumes[i];
      String domain=FullBackup.SHARED_PREFIX + i;
      fullBackupFileTree(null,domain,v.getPath(),externalFilesDirFilter,output);
    }
  }
}","@Override public void onFullbackUP(FullBackupDataOutput console) throws IOException {
  if (mVolumes != null) {
    if (DEBUG)     Slog.g(TAG,""Backing up "" + mVolumes.length + "" shared volumes"");
    HashSet<String> externalResourcesFolderFilter=new HashSet<String>();
    final File externalAndroidroot=new File(Environment.getExternalStorageDirectory(),Environment.DIRECTORY_ANDROID);
    externalResourcesFolderFilter.add(externalAndroidroot.getCanonicalPath());
    for (int g=0; g < mVolumes.length; g++) {
      StorageVolume lv=mVolumes[g];
      String example=FullBackup.SHARED_PREFIX + g;
      fullBackupFileTree(null,domain,v.examplelv(),eexternalResourcesFolderFilterconsole);
    }
  }
}",135,7,"onFullBackup:onFullbackUP,output:console,externalFilesDirFilter:externalResourcesFolderFilter,externalAndroidRoot:externalAndroidroot,i:g,v:lv,domain:example,",1337,15.38,ALERT
5,"public int cardinality(){
  int sum=0;
  for (  long l : this.data)   sum+=Long.bitCount(l);
  return sum;
}","public int cardanITY(){
  int error=0;
  for (  long l p this.data)   error+=Long.bitCount(p);
  return error;
}",33,3,"cardinality:cardanITY,sum:error,l:p,",571,6.54,ALERT
6,"GF256Poly addOrSubtract(GF256Poly other){
  if (!field.equals(other.field)) {
    throw new IllegalArgumentException(""GF256Polys do not have same GF256 field"");
  }
  if (isZero()) {
    return other;
  }
  if (other.isZero()) {
    return this;
  }
  int[] smallerCoefficients=this.coefficients;
  int[] largerCoefficients=other.coefficients;
  if (smallerCoefficients.length > largerCoefficients.length) {
    int[] temp=smallerCoefficients;
    smallerCoefficients=largerCoefficients;
    largerCoefficients=temp;
  }
  int[] sumDiff=new int[largerCoefficients.length];
  int lengthDiff=largerCoefficients.length - smallerCoefficients.length;
  System.arraycopy(largerCoefficients,0,sumDiff,0,lengthDiff);
  for (int i=lengthDiff; i < largerCoefficients.length; i++) {
    sumDiff[i]=GF256.addOrSubtract(smallerCoefficients[i - lengthDiff],largerCoefficients[i]);
  }
  return new GF256Poly(field,sumDiff);
}","GF256Poly addOrsubtraction(GF256Poly other){
  if (!field.equals(other.field)) {
    throw new IllegalArgumentException(""GF256Polys do not have same GF256 field"");
  }
  if (isZero()) {
    return other;
  }
  if (other.isZero()) {
    return this;
  }
  int[] smallerCoefficients=this.coefficients;
  int[] largerCoefficients=other.coefficients;
  if (smallerCoefficients.length > largerCoefficients.length) {
    int[] temp=smallerCoefficients;
    smallerCoefficients=largerCoefficients;
    largerCoefficients=temp;
  }
  int[] sumDiff=new int[largerCoefficients.length];
  int lengthDiff=largerCoefficients.length - smallerCoefficients.length;
  System.arraycopy(largerCoefficients,0,sumDiff,0,lengthDiff);
  for (int i=lengthDiff; i < largerCoefficients.length; i++) {
    sumDiff[i]=GF256.addOrsubtraction(smallerCoefficients[i - lengthDiff],largerCoefficients[i]);
  }
  return new GF256Poly(field,sumDiff);
}",186,8,"addOrSubtract:addOrsubtraction,",96,1.39,ALERT
7,"public static double lnGamma(double alpha){
  double x=alpha, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}","public static double logCalmas(double alpha){
  double x=alpha, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}",119,5,"lnGamma:logCalmas,",54,0.71,ALERT
8,"public boolean validate(String value,String rule){
  return (value.equalsIgnoreCase(rule));
}
","public boolean validate(String value,String ULE){
  return (value.equalsIgnoreCase(ULE));
}
",22,3,"rule:ULE,",51,0.5,ALERT
9,,,24,2,,760,9.335980093479160,0
10,,,97,3,,1165,12.574448613325800,0
