Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,"public void addListener(Listener listener){
  mListeners.add(listener);
  notifyServiceDiscovered(mMatchingDrones);
}
","public void removeListen(Listener addacher){
  mListeners.add(addacher);
  notifyServiceDiscovered(mMatchingDrones);
}
",21,4,"listener:addacher,addListener:removeListen,",42,0.10433142979939779,Beam
1,"private <T extends CWLResource>List<T> lookForResources(CWLResourceType type,Class<T> clazz){
  List<T> resources=getRequirements(type,clazz);
  if (resources == null || resources.size() == 0) {
    resources=getHints(type,clazz);
  }
  return resources;
}
","private <T extends CWLResource>List<T> lookFindResources(CWLResourceType link,Class<T> clazz){
  List<T> resources=getRequirements(link,clazz);
  if (resources == null || resources.size() == 0) {
    resources=getHints(link,clazz);
  }
  return resources;
}
",64,4,"lookForResources:lookFindResources,type:link,",227,0.6614974856376648,Beam
3,,,58,4,,219,0.9498981753985087,0
4,,,135,9,,416,2.39342813094457,0
5,,,33,3,,95,0.473707123597463,0
6,"GF256Poly addOrSubtract(GF256Poly other){
  if (!field.equals(other.field)) {
    throw new IllegalArgumentException(""GF256Polys do not have same GF256 field"");
  }
  if (isZero()) {
    return other;
  }
  if (other.isZero()) {
    return this;
  }
  int[] smallerCoefficients=this.coefficients;
  int[] largerCoefficients=other.coefficients;
  if (smallerCoefficients.length > largerCoefficients.length) {
    int[] temp=smallerCoefficients;
    smallerCoefficients=largerCoefficients;
    largerCoefficients=temp;
  }
  int[] sumDiff=new int[largerCoefficients.length];
  int lengthDiff=largerCoefficients.length - smallerCoefficients.length;
  System.arraycopy(largerCoefficients,0,sumDiff,0,lengthDiff);
  for (int i=lengthDiff; i < largerCoefficients.length; i++) {
    sumDiff[i]=GF256.addOrSubtract(smallerCoefficients[i - lengthDiff],largerCoefficients[i]);
  }
  return new GF256Poly(field,sumDiff);
}
","GF256Poly addOrSubtract(GF256Poly any){
  if (!field.equals(any.field)) {
    throw new IllegalArgumentException(""GF256Polys do not have same GF256 field"");
  }
  if (isZero()) {
    return any;
  }
  if (any.isZero()) {
    return this;
  }
  int[] smallerCoefficients=this.coefficients;
  int[] largerCoefficients=any.coefficients;
  if (smallerCoefficients.length > largerCoefficients.length) {
    int[] temp=smallerCoefficients;
    smallerCoefficients=largerCoefficients;
    largerCoefficients=temp;
  }
  int[] sumDiff=new int[largerCoefficients.length];
  int lengthDiff=largerCoefficients.length - smallerCoefficients.length;
  System.arraycopy(largerCoefficients,0,sumDiff,0,lengthDiff);
  for (int i=lengthDiff; i < largerCoefficients.length; i++) {
    sumDiff[i]=GF256.addOrSubtract(smallerCoefficients[i - lengthDiff],largerCoefficients[i]);
  }
  return new GF256Poly(field,sumDiff);
}
",186,9,"other:any,",17,0.12381108204523722,Beam
7,"public static double lnGamma(double alpha){
  double x=alpha, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}
","public static double logAmmas(double alpha){
  double x=alpha, f=0.0, z;
  if (x < 7) {
    f=1;
    z=x - 1;
    while (++z < 7) {
      f*=z;
    }
    x=z;
    f=-Math.log(f);
  }
  z=1 / (x * x);
  return f + (x - 0.5) * Math.log(x) - x + 0.918938533204673 + (((-0.000595238095238 * z + 0.000793650793651) * z - 0.002777777777778) * z + 0.083333333333333) / x;
}
",119,5,"lnGamma:logAmmas,",34,0.20207112232844035,Beam
8,"public boolean validate(String value,String rule){
  return (value.equalsIgnoreCase(rule));
}
","public boolean validate(String value,String element){
  return (value.equalsIgnoreCase(element));
}
",22,3,"rule:element,",11,0.04888308048248291,Beam
9,,,24,2,,239,1.483408308029175,0
10,"public static <T>String toString(Collection<T> collection){
  if (collection == null) {
    return ""null"";
  }
  if (collection.isEmpty()) {
    return """";
  }
  StringBuilder buf=new StringBuilder();
  String delimiter="""";
  for (  T t : collection) {
    if (t == null) {
      continue;
    }
    buf.append(delimiter);
    buf.append(t);
    delimiter="", "";
  }
  return buf.toString();
}
","public static <T>String getString(Collection<T> collect){
  if (collect == null) {
    return ""null"";
  }
  if (collect.isEmpty()) {
    return """";
  }
  StringBuilder buf=new StringBuilder();
  String delimiter="""";
  for (  T t : collect) {
    if (t == null) {
      continue;
    }
    buf.append(delimiter);
    buf.append(t);
    delimiter="", "";
  }
  return buf.getString();
}
",97,5,"toString:getString,collection:collect,",61,0.31452632347742715,Beam
