Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,"public void addListener(Listener listener){
  mListeners.add(listener);
  notifyServiceDiscovered(mMatchingDrones);
}
","public void addListen(Listener listeners){
  mListeners.add(listeners);
  notifyServiceDiscovered(mMatchingDrones);
}
",21,2,"addListener:addListen,listener:listeners,",175,1.82,ALERT
3,"public void writeSI32(int value) throws IOException {
  flushBits();
  out.write(value & 0xff);
  out.write(value >> 8);
  out.write(value >> 16);
  out.write(value >> 24);
  bytesWritten+=4;
}","public void writeSU32(int default) throws IOException {
  flushBits();
  out.write(default & 0xff);
  out.write(default >> 8);
  out.write(default >> 16);
  out.write(default >> 24);
  bytesWritten+=4;
}",58,3,"value:default,writeSI32:writeSU32,",63,0.68,ALERT
5,,,33,3,,950,10.675182596842400,0
8,"public boolean validate(String value,String rule){
  return (value.equalsIgnoreCase(rule));
}
","public boolean variate(String values,String rule){
  return (values.equalsIgnoreCase(rule));
}
",22,3,"validate:variate,value:values,",53,0.55,ALERT
9,,,24,2,,805,8.959192399183910,0
10,,,97,3,,1053,11.452646629015600,0
11,"private static String expandSystemIdStrictOn(String systemId,String baseSystemId) throws URI.MalformedURIException {
  URI systemURI=new URI(systemId,true);
  if (systemURI.isAbsoluteURI()) {
    return systemId;
  }
  URI baseURI=null;
  if (baseSystemId == null || baseSystemId.length() == 0) {
    baseURI=getUserDir();
  }
 else {
    baseURI=new URI(baseSystemId,true);
    if (!baseURI.isAbsoluteURI()) {
      baseURI.absolutize(getUserDir());
    }
  }
  systemURI.absolutize(baseURI);
  return systemURI.toString();
}","private static String expandSystemIdStrictOn(String systemId,String baseSystemId) throws URI.MalformedURIException {
  URI systemURI=new URI(systemId,true);
  if (systemURI.isAbsoluteURI()) {
    return systemId;
  }
  URI basURI=null;
  if (baseSystemId == null || baseSystemId.length() == 0) {
    basURI=getUserDir();
  }
 else {
    basURI=new URI(baseSystemId,true);
    if (!basURI.isAbsoluteURI()) {
      basURI.absolutize(getUserDir());
    }
  }
  systemURI.absolutize(basURI);
  return systemURI.toString();
}",115,5,"baseURI:basURI,",50,0.74,ALERT
12,"private void checkHeadingsHierarchy(Elements elements,TestSolutionHandler testSolutionHandler){
  if (elements.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution checkResult=TestSolution.PASSED;
  Iterator<Element> iter=elements.iterator();
  Element element=iter.next();
  int indexOfReference=getHeaderIndex(element);
  int currentIndex;
  int previousIndex=indexOfReference;
  Element elementOfReference=element;
  Element previousElement=element;
  while (iter.hasNext()) {
    element=iter.next();
    currentIndex=getHeaderIndex(element);
    if (currentIndex != -1) {
      if (currentIndex - previousIndex >= 2) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (currentIndex < indexOfReference) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=currentIndex;
      previousElement=element;
    }
  }
  testSolutionHandler.addTestSolution(checkResult);
}","private void checkHeadingsHierarchy(Elements Elem,TestSolutionHandler testSolutionHandler){
  if (Elem.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution checkResult=TestSolution.PASSED;
  Iterator<Element> iter=Elem.iterator();
  Element ele=iter.next();
  int indexOfReference=getHeaderIndex(ele);
  int currentPath;
  int previousIndex=indexOfReference;
  Element elementOfReference=ele;
  Element previousElement=ele;
  while (iter.hasNext()) {
    ele=iter.next();
    currentPath=getHeaderIndex(ele);
    if (currentPath != -1) {
      if (currentPath - previousIndex >= 2) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,ele,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (currentPath < indexOfReference) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,ele,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=currentPath;
      previousElement=ele;
    }
  }
  testSolutionHandler.addTestSolution(checkResult);
}",213,11,"element:ele,elements:Elem,currentIndex:currentPath,",135,2.53,ALERT
14,,,36,2,,383,4.078041585286460,0
15,"private static int compareLocales(Locale primary,Locale other){
  final String lang=primary.getLanguage();
  if ((lang == null) || !lang.equals(other.getLanguage())) {
    return 0;
  }
  final String country=primary.getCountry();
  if ((country == null) || !country.equals(other.getCountry())) {
    return 1;
  }
  final String variant=primary.getVariant();
  if ((variant == null) || !variant.equals(other.getVariant())) {
    return 2;
  }
  return 3;
}","private static int compareLocales(Locale primary,Locale other){
  final String lang=primary.getLanguage();
  if ((lang == null) || !lang.equals(other.getLanguage())) {
    return 0;
  }
  final String house=primary.getCountry();
  if ((house == null) || !house.equals(other.getCountry())) {
    return 1;
  }
  final String operante=primary.getVariant();
  if ((operante == null) || !operante.equals(other.getVariant())) {
    return 2;
  }
  return 3;
}",121,6,"country:house,variant:operante,",163,2.66,ALERT
16,,,106,4,,1147,14.16154572168990,0
18,"public Edge findEdgeInSameDirection(Coordinate p0,Coordinate p1){
  for (int i=0; i < edges.size(); i++) {
    Edge e=(Edge)edges.get(i);
    Coordinate[] eCoord=e.getCoordinates();
    if (matchInSameDirection(p0,p1,eCoord[0],eCoord[1]))     return e;
    if (matchInSameDirection(p0,p1,eCoord[eCoord.length - 1],eCoord[eCoord.length - 2]))     return e;
  }
  return null;
}","public Edge findEdgeInSameDirection(Coordinate p00,Coordinate p1){
  for (int i=0; i < edges.size(); i++) {
    Edge e=(Edge)edges.get(i);
    Coordinate[] eCoord=e.getCoordinates();
    if (matchInSameDirection(p00,p1,eCoord[0],eCoord[1]))     return e;
    if (matchInSameDirection(p00,p1,eCoord[eCoord.length - 1],eCoord[eCoord.length - 2]))     return e;
  }
  return null;
}",111,6,"p0:p00,",54,1.01,ALERT
19,"@RequestMapping(value=""/container/{containerId}/application/{applicationName}"",method=RequestMethod.POST) @ResponseBody public JsonResponse createDirectory(@PathVariable final String containerId,@PathVariable final String applicationName,@RequestParam(""path"") String path) throws ServiceException, CheckException, IOException {
  if (logger.isDebugEnabled()) {
    logger.debug(""containerId:"" + containerId);
    logger.debug(""applicationName:"" + applicationName);
    logger.debug(""path:"" + path);
  }
  fileService.createDirectory(applicationName,containerId,path);
  return new HttpOk();
}
","@RequestMapping(value=""/container/{containerId}/application/{applicationName}"",method=RequestMethod.POST) @ResponseBody public JsonResponse addFile(@PathVariable final String containerId,@PathVariable final String applicationName,@RequestParam(""path"") String path) throws ServiceException, CheckException, IOException {
  if (logger.isDebugEnabled()) {
    logger.debug(""containerId:"" + containerId);
    logger.debug(""applicationName:"" + applicationName);
    logger.debug(""path:"" + path);
  }
  fileService.addFile(applicationName,containerId,path);
  return new HttpOk();
}
",101,4,"createDirectory:addFile,",60,1.05,ALERT
20,,,14,1,,446,4.669628274440770,0
21,"public void damage(double value){
  setValue(Math.max(0,getValue() - value));
}","public void on(double score){
  setValue(Math.max(0,getValue() - score));
}",25,2,"value:score,damage:on,",64,0.7,ALERT
22,"void define(MemberDefinition field,int slot,int from,int to){
  if (from >= to) {
    return;
  }
  for (int i=0; i < len; i++) {
    if ((locals[i].field == field) && (locals[i].slot == slot) && (from <= locals[i].to)&& (to >= locals[i].from)) {
      locals[i].from=Math.min(locals[i].from,from);
      locals[i].to=Math.max(locals[i].to,to);
      return;
    }
  }
  if (len == locals.length) {
    LocalVariable newlocals[]=new LocalVariable[len * 2];
    System.arraycopy(locals,0,newlocals,0,len);
    locals=newlocals;
  }
  locals[len++]=new LocalVariable(field,slot,from,to);
}","void define(MemberDefinition field,int slot,int from,int to){
  if (from >= to) {
    return;
  }
  for (int i=0; i < len; i++) {
    if ((localsals[i].field == field) && (localsals[i].slot == slot) && (from <= localsals[i].to)&& (to >= localsals[i].from)) {
      localsals[i].from=Math.min(localsals[i].from,from);
      localsals[i].to=Math.max(localsals[i].to,to);
      return;
    }
  }
  if (len == localsals.length) {
    LocalVariable newlocals[]=new LocalVariable[len * 2];
    System.arraycopy(localsals,0,newlocals,0,len);
    localsals=newlocals;
  }
  localsals[len++]=new LocalVariable(field,slot,from,to);
}",195,9,"locals:localsals,",88,3.42,ALERT
23,"public void addScriptFinishedListener(ScriptExecutionListener l){
  m_FinishedListeners.add(l);
}
","public void addScriptFinalledHandler(ScriptExecutionListener pl){
  m_FinishedListeners.add(pl);
}
",16,2,"addScriptFinishedListener:addScriptFinalledHandler,l:pl,",364,4.06,ALERT
24,"public Hashtable<IPoint,List<ILineSegment>> intersections(Iterator<ILineSegment> it){
  Collection<ILineSegment> c=new ArrayList<ILineSegment>();
  while (it.hasNext()) {
    c.add(it.next());
  }
  return intersections(c.toArray(new ILineSegment[]{}));
}
","public Hashtable<IPoint,List<ILineSegment>> interrelations(Iterator<ILineSegment> IT){
  Collection<ILineSegment> c=new ArrayList<ILineSegment>();
  while (IT.hasNext()) {
    c.add(IT.next());
  }
  return interrelations(c.toArray(new ILineSegment[]{}));
}
",71,3,"it:IT,intersections:interrelations,",94,1.25,ALERT
25,"@Override public boolean addOutputSensor(String sensorName,int state){
  OutputSensor outputSensor=new OutputSensor(sensorName);
  if (!outputSensor.setState(state)) {
    return false;
  }
  _outputSensorList.add(outputSensor);
  return true;
}
","@Override public boolean addOutputSensor(String asectorDesign,int state){
  OutputSensor OutputConnector=new OutputSensor(asectorDesign);
  if (!OutputConnector.setState(state)) {
    return false;
  }
  _outputSensorList.add(OutputConnector);
  return true;
}
",48,4,"outputSensor:OutputConnector,sensorName:asectorDesign,",70,0.77,ALERT
26,"public IVariable[] extractRobotDebugVariables(final int stackTraceId,final Map<String,Object> newVariables){
  final RobotDebugVariablesContext currentVariablesContext=findCurrentVariablesContext(stackTraceId);
  Map<String,IVariable> previousVariablesMap=initPreviousVariablesState(currentVariablesContext);
  final Map<String,IVariable> nonGlobalVariablesMap=new LinkedHashMap<>();
  if (previousVariablesMap == null) {
    initNewNonGlobalVariables(newVariables,nonGlobalVariablesMap);
  }
 else {
    initVariablesComparingWithPreviousState(newVariables,previousVariablesMap,nonGlobalVariablesMap);
  }
  final LinkedList<IVariable> currentVariablesList=createCurrentVariablesList(nonGlobalVariablesMap);
  saveCurrentVariablesState(stackTraceId,currentVariablesContext,nonGlobalVariablesMap);
  return currentVariablesList.toArray(new IVariable[currentVariablesList.size()]);
}
","public IVariable[] extractRobotDebugVariants(final int stackTraceId,final Map<String,Object> newLiterable){
  final RobotDebugVariablesContext currentVariablesSupport=findCurrentVariablesContext(stackTraceId);
  Map<String,IVariable> previousVariablesMap=initPreviousVariablesState(currentVariablesSupport);
  final Map<String,IVariable> nonGlobalVariablesMap=new LinkedHashMap<>();
  if (previousVariablesMap == null) {
    initNewNonGlobalVariables(newLiterable,nonGlobalVariablesMap);
  }
 else {
    initVariablesComparingWithPreviousState(newLiterable,previousVariablesMap,nonGlobalVariablesMap);
  }
  final LinkedList<IVariable> currentVariablesList=createCurrentVariablesList(nonGlobalVariablesMap);
  saveCurrentVariablesState(stackTraceId,currentVariablesSupport,nonGlobalVariablesMap);
  return currentVariablesList.toArray(new IVariable[currentVariablesList.size()]);
}
",123,7,"newVariables:newLiterable,currentVariablesContext:currentVariablesSupport,extractRobotDebugVariables:extractRobotDebugVariants,",136,1.78,ALERT
27,"protected void create_y_axis(int i){
  Log.e(""index vlaue"",i + """");
  float ver_height=((graphheight / label_size) * i) + border;
  if (i == largest_value_set.size() - 1)   canvas.drawLine(horstart,ver_height,width - (border),ver_height,paint);
 else   canvas.drawLine(horstart,ver_height,border,ver_height,paint);
  paint.setColor(Color.BLACK);
  int Y_labels=(int)size - 1 - i;
  String y_labels=String.format(""%.1f"",Y_labels * y_axis_ratio);
  paint.setTextAlign(Paint.Align.RIGHT);
  canvas.drawText(y_labels,horstart - 15,ver_height - 10,paint);
  paint.setTextAlign(Paint.Align.LEFT);
}","protected void create_dy2column(int iu){
  Log.e(""index vlaue"",iu + """");
  float ver_height=((graphheight / label_size) * iu) + border;
  if (iu == largest_value_set.size() - 1)   canvas.drawLine(horstart,ver_height,width - (border),ver_height,paint);
 else   canvas.drawLine(horstart,ver_height,border,ver_height,paint);
  paint.setColor(Color.BLACK);
  int Y_labels=(int)size - 1 - iu;
  String y_labels=String.format(""%.1f"",Y_labels * y_axis_ratio);
  paint.setTextAlign(Paint.Align.RIGHT);
  canvas.drawText(y_labels,horstart - 15,ver_height - 10,paint);
  paint.setTextAlign(Paint.Align.LEFT);
}",156,5,"i:iu,create_y_axis:create_dy2column,",59,0.96,ALERT
28,"public void emitRetainedVars(GenerateJsVisitor gen){
  if (!retainedVars.isEmpty()) {
    gen.out(""var "");
    boolean first=true;
    for (    String varName : retainedVars) {
      if (!first) {
        gen.out("","");
      }
      first=false;
      gen.out(varName);
    }
    gen.endLine(true);
    retainedVars.clear();
  }
}
","public void emitRetainVables(GenerateJsVisitor out){
  if (!retainedVars.isEmpty()) {
    out.out(""var "");
    boolean given=true;
    for (    String varName : retainedVars) {
      if (!given) {
        out.out("","");
      }
      given=false;
      out.out(varName);
    }
    out.endLine(true);
    retainedVars.clear();
  }
}
",79,4,"emitRetainedVars:emitRetainVables,gen:out,first:given,",177,2.33,ALERT
29,"public void hspan(double start,double end,Paint color,String legend){
  LegendText legendText=new LegendText(color,legend);
  comments.add(legendText);
  plotElements.add(new HSpan(start,end,color,legendText));
}
","public void vchart(double art,double order,Paint cycle,String lagender){
  LegendText legendertextew LegendText(cycle,lagender);
  comments.add(gendertext);
  plotElements.add(new HSpan(art,order,cycle,gendertext));
}
",53,6,"hspan:vchart,start:art,end:order,color:cycle,legend:lagender,legendText:gendertext,",479,7.33,ALERT
30,"public void deleteResourceConfig(String clusterName,ResourceType resourceType,String dsName) throws ConfigurationException {
  if (getClusterHome() == null) {
    throw new ConfigurationException(""No home directory found from which to configure resources."");
  }
  File resources=getDir(getResourceConfigDirName(getClusterHome(),clusterName,resourceType));
  String delFileName=resources.getAbsolutePath() + File.separator + dsName+ "".properties"";
  delFile(delFileName);
}
","public void deleteresourceDir(String ClustersType,ResourceType resourceUnit,String csName) throws ConfigurationException {
  if (getClusterHome() == null) {
    throw new ConfigurationException(""No home directory found from which to configure resources."");
  }
  File rmapsgetDir(getResourceConfigDirName(getClusterHome(),ClustersType,resourceUnit));
  StdelFileInfoeName=maps.getAbsolutePath() + File.separator + csName+ "".properties"";
  delFile(delFileInfo);
}
",73,6,"deleteResourceConfig:deleteresourceDir,clusterName:ClustersType,resourceType:resourceUnit,dsName:csName,resources:maps,delFileName:delFileInfo,",325,4.4,ALERT
31,"public static String toString(final URI uri,final Charset encoding) throws IOException {
  return IOUtils.toString(uri.toURL(),Charsets.toCharset(encoding));
}
","public static String toStr(final URI server,final Charset Encasting) throws IOException {
  return IOUtils.toStr(server.toURL(),Charsets.toCharset(Encasting));
}
",36,3,"uri:server,encoding:Encasting,toString:toStr,",91,1.11,ALERT
32,,,21,2,,770,9.285068877538050,0
33,,,16,2,,673,6.7754979729652400,0
35,"public AtomicDoubleArray(int length){
  larray=new AtomicLongArray(length);
  long ZERO=Double.doubleToRawLongBits(0.0);
  for (int i=0; i < length; i++)   larray.set(i,ZERO);
}","public AtomicDoubleArray(int length){
  larray=new AtomicLongArray(length);
  long ZERO=Double.doubleToRawLongBits(0.0);
  for (int j=0; j < length; j++)   larray.set(j,ZERO);
}",49,4,"i:j,",44,0.49,ALERT
36,"public static String decode(AbstractMessage msg,Boolean ext,int header){
  if (ext == false) {
    return decode(msg);
  }
  return ""Bootloader Message Type: "" + header;
}
","public static String Decod(AbstractMessage bm,Boolean ext,int header){
  if (ext == false) {
    return Decod(bm);
  }
  return ""Bootloader Message Type: "" + header;
}
",35,4,"msg:bm,decode:Decod,",64,1.02,ALERT
37,"private double normalDens(double x,double mean,double stdDev){
  double diff=x - mean;
  return (1 / (m_normConst * stdDev)) * Math.exp(-(diff * diff / (2 * stdDev * stdDev)));
}","private double normalPENS(double ex,double na,double stdDev){
  double mix=ex - na;
  return (1 / (m_normConst * stdDev)) * Math.exp(-(mix * mix / (2 * stdDev * stdDev)));
}",53,5,"mean:na,normalDens:normalPENS,diff:mix,x:ex,",157,2.43,ALERT
39,,,34,3,,1144,20.749443078041100,0
40,"public static double rootMeansSquaredError(double[] real,double[] predicted){
  double ret=0.0;
  for (int i=0; i < real.length; i++) {
    ret+=Math.pow((real[i] - predicted[i]),2);
  }
  return Math.sqrt(ret / real.length);
}","public static double kMeansSquaresMass(double[] real,double[] predicted){
  double ret=0.0;
  for (int i=0; i < real.length; i++) {
    ret+=Math.pow((real[i] - predicted[i]),2);
  }
  return Math.sqrt(ret / real.length);
}",73,5,"rootMeansSquaredError:kMeansSquaresMass,",29,0.37,ALERT
41,"protected void processMouseEvent(MouseEvent e){
  if (myInplaceComponent != null && (MouseEvent.MOUSE_PRESSED == e.getID() || MouseEvent.MOUSE_RELEASED == e.getID())) {
    finishEditing(true);
  }
  super.processMouseEvent(e);
}
","protected void processEventCommand(MouseEvent e){
  if (myInplaceComponent != null && (MouseEvent.MOUSE_PRESSED == e.getID() || MouseEvent.MOUSE_RELEASED == e.getID())) {
    finishEditing(true);
  }
  super.processEventCommand(e);
}
",51,2,"processMouseEvent:processEventCommand,",68,0.9,ALERT
42,"public void postProcess(){
  if (foreignColumnName != null) {
    foreignAutoRefresh=true;
  }
  if (foreignAutoRefresh && maxForeignAutoRefreshLevel == DatabaseField.NO_MAX_FOREIGN_AUTO_REFRESH_LEVEL_SPECIFIED) {
    maxForeignAutoRefreshLevel=DatabaseField.DEFAULT_MAX_FOREIGN_AUTO_REFRESH_LEVEL;
  }
}
","public void postConstruct(){
  if (foreignColumnName != null) {
    foreignAutoRefresh=true;
  }
  if (foreignAutoRefresh && maxForeignAutoRefreshLevel == DatabaseField.NO_MAX_FOREIGN_AUTO_REFRESH_LEVEL_SPECIFIED) {
    maxForeignAutoRefreshLevel=DatabaseField.DEFAULT_MAX_FOREIGN_AUTO_REFRESH_LEVEL;
  }
}
",37,3,"postProcess:postConstruct,",46,0.38,ALERT
43,"private static void insertValue(final Map<String,List<String>> paramsMap,final String paramVal,final String parameterName){
  if (paramVal != null) {
    List<String> list=new ArrayList<>();
    list.add(paramVal);
    paramsMap.put(parameterName,list);
  }
}
","private static void InsertValues(final Map<String,List<String>> paramList,final String paramValue,final String paramorName){
  if (paramValue != null) {
    List<String> pool=new ArrayList<>();
    lipooldd(paramValue);
    paramList.put(paramorName,pool);
  }
}
",64,5,"insertValue:InsertValues,paramsMap:paramList,paramVal:paramValue,parameterName:paramorName,list:pool,",420,4.89,ALERT
44,"public static int randGaussian(final int mean,final int sd){
  return (int)(rand.nextGaussian() * sd + mean);
}
","public static int NextSllli(final int mean,final int sd){
  return (int)(rand.nextGaussian() * sd + mean);
}
",31,3,"randGaussian:NextSllli,",27,0.32,ALERT
