Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,"public void addListener(Listener listener){
  mListeners.add(listener);
  notifyServiceDiscovered(mMatchingDrones);
}
","public void removeAdapter(Listener peeners){
  mListeners.add(peeners);
  notifyServiceDiscovered(mMatchingDrones);
}
",21,4,"listener:peeners,addListener:removeAdapter,",52,0.23843586444854700,Beam
3,"public void writeSI32(int value) throws IOException {
  flushBits();
  out.write(value & 0xff);
  out.write(value >> 8);
  out.write(value >> 16);
  out.write(value >> 24);
  bytesWritten+=4;
}","public void writeSU32(int data) throws IOException {
  flushBits();
  out.write(data & 0xff);
  out.write(data >> 8);
  out.write(data >> 16);
  out.write(data >> 24);
  bytesWritten+=4;
}",58,4,"writeSI32:writeSU32,value:data,",84,0.36806676387786900,Beam
5,,,33,3,,484,2.344312830766040,0
8,"public boolean validate(String value,String rule){
  return (value.equalsIgnoreCase(rule));
}
","public boolean validate(String test,String rule){
  return (test.equalsIgnoreCase(rule));
}
",22,3,"value:test,",52,0.190716818968455,Beam
9,,,24,2,,270,1.3106600443522100,0
10,"public static <T>String toString(Collection<T> collection){
  if (collection == null) {
    return ""null"";
  }
  if (collection.isEmpty()) {
    return """";
  }
  StringBuilder buf=new StringBuilder();
  String delimiter="""";
  for (  T t : collection) {
    if (t == null) {
      continue;
    }
    buf.append(delimiter);
    buf.append(t);
    delimiter="", "";
  }
  return buf.toString();
}
","public static <T>String getstring(Collection<T> document){
  if (document == null) {
    return ""null"";
  }
  if (document.isEmpty()) {
    return """";
  }
  StringBuilder buf=new StringBuilder();
  String delimiter="""";
  for (  T t : document) {
    if (t == null) {
      continue;
    }
    buf.append(delimiter);
    buf.append(t);
    delimiter="", "";
  }
  return buf.getstring();
}
",97,5,"toString:getstring,collection:document,",115,0.5535227139790850,Beam
11,"private static String expandSystemIdStrictOn(String systemId,String baseSystemId) throws URI.MalformedURIException {
  URI systemURI=new URI(systemId,true);
  if (systemURI.isAbsoluteURI()) {
    return systemId;
  }
  URI baseURI=null;
  if (baseSystemId == null || baseSystemId.length() == 0) {
    baseURI=getUserDir();
  }
 else {
    baseURI=new URI(baseSystemId,true);
    if (!baseURI.isAbsoluteURI()) {
      baseURI.absolutize(getUserDir());
    }
  }
  systemURI.absolutize(baseURI);
  return systemURI.toString();
}","private static String expandSystemIdStrictOn(String serverId,String baseSystemId) throws URI.MalformedURIException {
  URI systemURI=new URI(serverId,true);
  if (systemURI.isAbsoluteURI()) {
    return serverId;
  }
  URI baseURI=null;
  if (baseSystemId == null || baseSystemId.length() == 0) {
    baseURI=getUserDir();
  }
 else {
    baseURI=new URI(baseSystemId,true);
    if (!baseURI.isAbsoluteURI()) {
      baseURI.absolutize(getUserDir());
    }
  }
  systemURI.absolutize(baseURI);
  return systemURI.toString();
}",115,5,"systemId:serverId,",6,0.032985417048136400,Beam
12,"private void checkHeadingsHierarchy(Elements elements,TestSolutionHandler testSolutionHandler){
  if (elements.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution checkResult=TestSolution.PASSED;
  Iterator<Element> iter=elements.iterator();
  Element element=iter.next();
  int indexOfReference=getHeaderIndex(element);
  int currentIndex;
  int previousIndex=indexOfReference;
  Element elementOfReference=element;
  Element previousElement=element;
  while (iter.hasNext()) {
    element=iter.next();
    currentIndex=getHeaderIndex(element);
    if (currentIndex != -1) {
      if (currentIndex - previousIndex >= 2) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (currentIndex < indexOfReference) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=currentIndex;
      previousElement=element;
    }
  }
  testSolutionHandler.addTestSolution(checkResult);
}","private void apply(Elements elements,TestSolutionHandler testSolutionHandler){
  if (elements.isEmpty()) {
    testSolutionHandler.addTestSolution(TestSolution.NOT_APPLICABLE);
    return;
  }
  TestSolution checkResult=TestSolution.PASSED;
  Iterator<Element> iter=elements.iterator();
  Element element=iter.next();
  int indexOfReference=getHeaderIndex(element);
  int currentIndex;
  int previousIndex=indexOfReference;
  Element elementOfReference=element;
  Element previousElement=element;
  while (iter.hasNext()) {
    element=iter.next();
    currentIndex=getHeaderIndex(element);
    if (currentIndex != -1) {
      if (currentIndex - previousIndex >= 2) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(PREVIOUS_H_TAG_INDEX_EE,getEvidenceElementMsg(previousIndex,previousElement)));
      }
 else       if (currentIndex < indexOfReference) {
        checkResult=TestSolution.FAILED;
        addSourceCodeRemark(TestSolution.FAILED,element,HEADER_NOT_HIERARCHICALLY_WELL_DEFINED_MSG,getEvidenceElement(FIRST_H_TAG_INDEX_EE,getEvidenceElementMsg(indexOfReference,elementOfReference)));
      }
      previousIndex=currentIndex;
      previousElement=element;
    }
  }
  testSolutionHandler.addTestSolution(checkResult);
}",213,11,"checkHeadingsHierarchy:apply,",58,0.5228331486384070,Beam
14,,,36,3,,248,1.165953763326010,0
15,"private static int compareLocales(Locale primary,Locale other){
  final String lang=primary.getLanguage();
  if ((lang == null) || !lang.equals(other.getLanguage())) {
    return 0;
  }
  final String country=primary.getCountry();
  if ((country == null) || !country.equals(other.getCountry())) {
    return 1;
  }
  final String variant=primary.getVariant();
  if ((variant == null) || !variant.equals(other.getVariant())) {
    return 2;
  }
  return 3;
}","private static int compareLocalale(Locale primary,Locale second){
  final String lang=primary.getLanguage();
  if ((lang == null) || !lang.equals(second.getLanguage())) {
    return 0;
  }
  final String country=primary.getCountry();
  if ((country == null) || !country.equals(second.getCountry())) {
    return 1;
  }
  final String variant=primary.getVariant();
  if ((variant == null) || !variant.equals(second.getVariant())) {
    return 2;
  }
  return 3;
}",121,6,"other:second,compareLocales:compareLocalale,",96,0.6349875410397850,Beam
